dataset,vae_name,beta,gamma,fold_idx,strategy,model_name,MSE,MAE,L2,L1,validity,FID,RelFID,RelL2,Pos region size,Pos number of regions,Neg region size,Neg number of regions
chexpert,full_run_100e_ft25,0.0,0.0,0,weighted_loss,SPN,349.6873865612937,12.224954180359116,1730.8764432587761,200293.64929100376,0.0,422.4307282593029,0.0,123.08315225925277,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,0.0,0.0,0,mean,SPN,0.016567409278810247,0.09544423193052157,16.32194994278073,1563.7582959496654,1.0,422.4484618308019,0.0,1.0056066949697668,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,0.0,0.0,0,min_loss,SPN,0.01656740905924655,0.09544423227925594,16.321949845782644,1563.7583016633293,1.0,422.44874656199164,0.0,1.0056066897126257,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,0.0,1.0,0,weighted_loss,SPN,354.7458655892762,12.32926417627028,1743.0774625295153,202002.66426401227,0.0,422.05574260803905,-24.606447595240866,123.95552580902245,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,0.0,1.0,0,mean,SPN,0.016455562582816198,0.09505813475526487,16.25774065515567,1557.4324798302596,0.5,421.8972852921216,0.0,1.0010776751691821,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,0.0,1.0,0,min_loss,SPN,0.01645556245703325,0.09505813460468665,16.257740583308458,1557.432477363186,0.5,421.89728466284777,0.0,1.001077670136579,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,1.0,0.0,0,weighted_loss,SPN,349.6875811595602,12.224959000234417,1730.8769143207267,200293.7282598407,0.0,422.430832834351,0.0,123.08318585426623,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,1.0,0.0,0,mean,SPN,0.016567321996474517,0.09544396978492632,16.321904626254874,1563.7540009562329,1.0,422.4482017569249,0.0,1.0056037533932505,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,1.0,0.0,0,min_loss,SPN,0.016567321866865905,0.09544396953822588,16.321904545775922,1563.7539969142929,1.0,422.44831720871434,0.0,1.005603747362953,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,1.0,1.0,0,weighted_loss,SPN,354.7449354732247,12.329246587805594,1743.0752271244637,202002.37609460685,0.0,422.05676990706667,-24.6071390890192,123.95536582709745,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,1.0,1.0,0,mean,SPN,0.016455479418497287,0.09505789620873123,16.257697376409304,1557.4285714838525,0.5,421.8954396692402,0.0,1.001074872217198,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,1.0,1.0,0,min_loss,SPN,0.016455479739448286,0.09505789661973757,16.257697528544586,1557.4285782177803,0.5,421.89512586819353,0.0,1.0010748811832328,0.0,"[0, 1]","[1, 0]","[1, 1]"
