dataset,vae_name,beta,gamma,fold_idx,strategy,model_name,MSE,MAE,L2,L1,validity,FID,RelFID,RelL2,Pos region size,Pos number of regions,Neg region size,Neg number of regions
chexpert,full_run_100e_ft25,0.0,0.0,0,weighted_loss,SPN,187.7571134923346,8.463878688790311,1184.3943459018817,138672.18843714046,0.2,388.12595427831,-10.530928122266232,77.8624115807625,128.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,0.0,0.0,0,mean,SPN,0.017234918779878945,0.09624752836502257,16.569503794721193,1576.9195047325297,1.0,385.32157701135395,0.0,1.0032671893488037,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,0.0,0.0,0,min_loss,SPN,0.01723491875162242,0.09624752845203847,16.569503779513834,1576.9195061581984,1.0,385.3214439970259,0.0,1.0032671881503494,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,100.0,0.0,0,weighted_loss,SPN,161.03508126475205,7.3824602654281595,1035.0388425447668,120954.22898877496,0.2,388.77464089473176,-13.788591150835487,69.72582392114279,128.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,100.0,0.0,0,mean,SPN,0.017229331324557978,0.09623015627650691,16.56653879770114,1576.6348804342892,0.8,385.22887162508744,-3.7864691428634387,1.0030719308579616,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,100.0,0.0,0,min_loss,SPN,0.017229331126486256,0.09623015594246088,16.56653870782111,1576.6348749612791,0.8,385.2289365711044,-3.786848335661773,1.0030719258270377,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,0.0,0.0,1,weighted_loss,SPN,147.69427975085495,5.198337769194041,735.3210204287369,85169.56601047517,0.6,388.87222734104773,-22.39219536519869,50.96617094010617,95.5,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,0.0,0.0,1,mean,SPN,0.01860837132815808,0.0991577733361631,17.283452624140622,1624.6009583396963,0.8,379.3505401056231,-8.220567326161358,1.0026557914518481,13.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,0.0,0.0,1,min_loss,SPN,0.018608371431872564,0.09915777488591934,17.28345268832767,1624.6009837309025,0.8,379.35062789892817,-8.2206211039246,1.002655796189574,13.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,100.0,0.0,1,weighted_loss,SPN,147.77245773746444,5.266512430472022,745.0139773859084,86286.53966085361,0.6,388.8894702425647,-22.44468061116902,51.73572608549922,128.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,100.0,0.0,1,mean,SPN,0.018597525089377488,0.09911354118773855,17.277231298188056,1623.8762588199083,0.6,378.5404643747571,-13.761181318379784,1.002216450378035,13.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,100.0,0.0,1,min_loss,SPN,0.018597524930519676,0.0991135403399758,17.277231213991193,1623.8762449301635,0.6,378.5404904660392,-13.761092635933892,1.0022164448642559,13.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,0.0,0.0,2,weighted_loss,SPN,163.0101871841883,8.261140085224966,1136.6533779021602,135350.51915632584,0.4,386.52560671109995,-29.707286018271077,69.16159522206718,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,0.0,0.0,2,mean,SPN,0.017187562408122567,0.09743152242815327,16.57660140372647,1596.3180634628632,0.8,374.4457390327707,-6.223320130229638,1.0020877245185886,10.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,0.0,0.0,2,min_loss,SPN,0.017187562346092495,0.097431522008592,16.576601370997302,1596.3180565887712,0.8,374.44580363467327,-6.223397537892566,1.0020877225451692,10.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,100.0,0.0,2,weighted_loss,SPN,161.3163173856814,8.774111902990368,1210.0562503448198,143755.0494185942,0.4,386.7639755719484,-29.31557883826332,73.85491198705076,0.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,100.0,0.0,2,mean,SPN,0.017185876974380395,0.09742740510282182,16.575352820172743,1596.2506052046326,0.6,374.3701560030716,-10.251983579917066,1.0019824343161907,10.0,"[0, 1]","[1, 0]","[1, 1]"
chexpert,full_run_100e_ft25,100.0,0.0,2,min_loss,SPN,0.01718587706300054,0.09742740559712082,16.575352871193985,1596.2506133032275,0.6,374.37030978883877,-10.251858388925655,1.001982437983445,10.0,"[0, 1]","[1, 0]","[1, 1]"
